🕘️更新时间,#genre#
湖南卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=hunws&zy.m3u8
湖南卫视,http://192.151.150.154/live/hnwshd.m3u8
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
湖南卫视,http://www.frankgb.cn:4022/udp/239.49.8.12:9418
北京卫视,http://www.frankgb.cn:4022/udp/239.49.8.11:9414
湖北卫视,http://www.frankgb.cn:4022/udp/239.49.8.8:9632
黑龙江卫视,http://www.frankgb.cn:4022/udp/239.49.8.14:9426
安徽卫视,http://www.frankgb.cn:4022/udp/239.49.8.80:8000
重庆卫视,http://183.129.255.66:8480/hls/37/index.m3u8
重庆卫视,http://www.frankgb.cn:4022/udp/239.49.8.57:9830
东方卫视,http://www.frankgb.cn:4022/udp/239.49.8.17:9606
东南卫视,http://www.frankgb.cn:4022/udp/239.49.8.112:8000
甘肃卫视,http://www.frankgb.cn:4022/udp/239.49.0.250:8000
广西卫视,http://www.frankgb.cn:4022/udp/239.49.8.10:8000
贵州卫视,http://www.frankgb.cn:4022/udp/239.49.8.49:8000
海南卫视,http://www.frankgb.cn:4022/udp/239.49.8.83:8000
河北卫视,http://183.129.255.66:8480/hls/39/index.m3u8
河北卫视,http://www.frankgb.cn:4022/udp/239.49.8.114:8000
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://183.129.255.66:8480/hls/38/index.m3u8
河南卫视,http://www.frankgb.cn:4022/udp/239.49.8.29:8000
吉林卫视,http://www.frankgb.cn:4022/udp/239.49.8.113:8000
江苏卫视,http://www.frankgb.cn:4022/udp/239.49.8.16:9602
江西卫视,http://www.frankgb.cn:4022/udp/239.49.8.111:8000
辽宁卫视,http://www.frankgb.cn:4022/udp/239.49.8.48:8000
宁夏卫视,http://www.frankgb.cn:4022/udp/239.49.1.60:8000
青海卫视,http://www.frankgb.cn:4022/udp/239.49.0.81:8000
山东卫视,http://183.129.255.66:8480/hls/35/index.m3u8
山东卫视,http://www.frankgb.cn:4022/udp/239.49.8.7:9306
山西卫视,http://www.frankgb.cn:4022/udp/239.49.1.55:8000
四川卫视,http://www.frankgb.cn:4022/udp/239.49.8.110:8000
深圳卫视,http://183.129.255.66:8480/hls/34/index.m3u8
深圳卫视,http://www.frankgb.cn:4022/udp/239.49.8.15:9430
三沙卫视,http://www.frankgb.cn:4022/udp/239.49.0.167:8000
天津卫视,http://www.frankgb.cn:4022/udp/239.49.8.35:8620
西藏卫视,http://www.frankgb.cn:4022/udp/239.49.1.56:8000
新疆卫视,http://www.frankgb.cn:4022/udp/239.49.1.57:8000
云南卫视,http://183.129.255.66:8480/hls/40/index.m3u8
云南卫视,http://www.frankgb.cn:4022/udp/239.49.0.177:8000

☘️广东频道,#genre#
广东珠江,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8
广东卫视,http://www.frankgb.cn:4022/udp/239.49.8.13:9422
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=aae0358e06f64d4db4d663321a3fa964&txTime=190def4db74
深圳卫视,http://www.frankgb.cn:4022/udp/239.49.8.15:9430
